Timestamp	Main task	Tasks	Batch size	# Epochs	Learning Rate	Model	Input dim	Embedding dim	Hidden dim	Output dim	Dropout	nonlinearity	accuracy	precision	recall	f1-score	loss
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6746088235294118	0.5378364808557455	0.6615304149282091	0.5507752823580764	6293851.2935326025
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6737281976744186	0.5369538825354233	0.6614764759949353	0.5500183639932005	6408226.561721079
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6741479885057471	0.5387077293236776	0.6634556735888633	0.5518031497095699	6415593.434554331
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6745113636363637	0.5384447014790765	0.6634246690336179	0.5517464501444684	6454527.864409678
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6743623595505618	0.5380522048332441	0.6635370106952972	0.5515383052357018	6477312.610747568
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6736027777777778	0.5374763475105142	0.663002617983868	0.550763081524924	6541573.47223305
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6737623626373627	0.5371529745132767	0.6629941924833409	0.5505189884612716	6554865.262565844
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6714008152173913	0.5356984933695532	0.6630830237244639	0.5492638120747342	6609860.645012133
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.668611559139785	0.5340424933638643	0.6631532641641512	0.5476838287672875	7121933.827743761
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6658364361702128	0.5321143618054522	0.6629857853582588	0.5460226802911463	7137964.86644005
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6627697368421053	0.5299657100501838	0.662745449156107	0.5440768284152702	7153730.99018883
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6597122395833334	0.5280831478995542	0.6608939340607309	0.542193582259984	7208173.215576403
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.656798969072165	0.5274055127146622	0.6592158802108545	0.5404657016168761	7230265.9931642935
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6578584183673469	0.5289828363105149	0.6595800038821722	0.5414384570589815	7342458.325683825
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6586755050505051	0.5300184624999019	0.6591874208703754	0.5418610591448421	7352494.931640856
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.66087375	0.530878227980353	0.6592826895188146	0.5427568494727073	7434640.012464754
